"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","AUD","Australian Dollar","6","Millions","2018","2018",1952680,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","EUR","Euro","6","Millions","2015","2015",368820.3,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","EUR","Euro","6","Millions","2015","2015",436489.3,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","CAD","Canadian Dollar","6","Millions","2012","2012",2063886.5,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","CZK","Czech Koruna","6","Millions","2015","2015",5147421,,
"DNK","Denmark","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","DKK","Danish Krone","6","Millions","2010","2010",2094224.816,,
"FIN","Finland","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","EUR","Euro","6","Millions","2015","2015",227208,,
"FRA","France","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","EUR","Euro","6","Millions","2014","2014",2289780,,
"DEU","Germany","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","EUR","Euro","6","Millions","2015","2015",3214408.4,,
"GRC","Greece","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","EUR","Euro","6","Millions","2015","2015",180259.216,"P","Provisional value"
"ITA","Italy","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","EUR","Euro","6","Millions","2015","2015",1720786.6,,
"ESP","Spain","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","EUR","Euro","6","Millions","2015","2015",1171052,"P","Provisional value"
"CHE","Switzerland","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","CHF","Swiss Franc","6","Millions","2015","2015",721592.332,,
"GBR","United Kingdom","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","GBP","Pound Sterling","6","Millions","2018","2018",2141792,,
"COL","Colombia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","COP","Colombian Peso","6","Millions","2015","2015",854008000,,
"EST","Estonia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","EUR","Euro","6","Millions","2015","2015",23609.372,,
"SVN","Slovenia","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","EUR","Euro","6","Millions","2010","2010",41903.792,,
"POL","Poland","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2018","2018","PLN","Zloty","6","Millions","2015","2015",2051697,,
