"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",1209027.088,,
"AUT","Austria","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",468260.801,,
"BEL","Belgium","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",555350.252,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",1731760.173,,
"CZE","Czech Republic","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",407058.294,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",310971.047,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",253484.567,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",2916458.311,"P","Provisional value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",4153928.375,,
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",301452.907,"P","Provisional value"
"ISL","Iceland","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",19363.282,,
"NOR","Norway","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",330357.077,,
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",1796023.936,"P","Provisional value"
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",590230.298,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",2944400.522,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",23035800.532,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",684102.076,"P","Provisional value"
"JPN","Japan","B1_GE","Gross domestic product (expenditure approach)","VPVOB","Constant prices, constant PPPs, OECD base year","2019","2019","USD","US Dollar","6","Millions","2015","2015",5372136.404,"E","Estimated value"
