"","Country","Subject","MEASURE","Frequency","TIME","Period","Unit","Value"
"1","Australia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",51809.2
"2","Australia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",52205.2
"3","Australia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",52635.4
"4","Australia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",53361.9
"5","Australia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",53755.1
"6","Australia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",53907.9
"7","Australia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",53621.1
"8","Australia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",49502.9
"9","Australia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",51624.5
"10","Australia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",53533.9
"11","Australia","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",54845.3
"12","Australia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",48213.7
"13","Australia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",48135.9
"14","Australia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",48111.2
"15","Australia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",48288.1
"16","Australia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",48402
"17","Australia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",48425.4
"18","Australia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",48072.2
"19","Australia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",44675.2
"20","Australia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",46239
"21","Australia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",47708.7
"22","Australia","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",48321.2
"23","France","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",46691.9
"24","France","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",47503.6
"25","France","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",48325
"26","France","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",49279.8
"27","France","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",49827.6
"28","France","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",50064.2
"29","France","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",47397.4
"30","France","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",40739.8
"31","France","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",49129.4
"32","France","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",48530.9
"33","France","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",48991.7
"34","France","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",42559.8
"35","France","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",42782.6
"36","France","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",43017.2
