"COUNTRY","Country","Year","INDICATOR","Indicator","Unit.Code","Unit","PowerCode","Reference.Period","Value"
"AUS","Australia",2007,"SME_LENDING_STOCK","Outstanding business loans, SMEs ","AUD","Australian Dollar","Millions",NA,189198
"AUS","Australia",2008,"SME_LENDING_STOCK","Outstanding business loans, SMEs ","AUD","Australian Dollar","Millions",NA,204591
"AUS","Australia",2009,"SME_LENDING_STOCK","Outstanding business loans, SMEs ","AUD","Australian Dollar","Millions",NA,204681
"AUS","Australia",2010,"SME_LENDING_STOCK","Outstanding business loans, SMEs ","AUD","Australian Dollar","Millions",NA,225167
"AUS","Australia",2011,"SME_LENDING_STOCK","Outstanding business loans, SMEs ","AUD","Australian Dollar","Millions",NA,235982
"AUS","Australia",2012,"SME_LENDING_STOCK","Outstanding business loans, SMEs ","AUD","Australian Dollar","Millions",NA,239993
"AUS","Australia",2013,"SME_LENDING_STOCK","Outstanding business loans, SMEs ","AUD","Australian Dollar","Millions",NA,243110
"AUS","Australia",2014,"SME_LENDING_STOCK","Outstanding business loans, SMEs ","AUD","Australian Dollar","Millions",NA,251393
"AUS","Australia",2015,"SME_LENDING_STOCK","Outstanding business loans, SMEs ","AUD","Australian Dollar","Millions",NA,261505
"AUS","Australia",2016,"SME_LENDING_STOCK","Outstanding business loans, SMEs ","AUD","Australian Dollar","Millions",NA,271388
"AUS","Australia",2017,"SME_LENDING_STOCK","Outstanding business loans, SMEs ","AUD","Australian Dollar","Millions",NA,281388
"AUS","Australia",2018,"SME_LENDING_STOCK","Outstanding business loans, SMEs ","AUD","Australian Dollar","Millions",NA,283697
"AUS","Australia",2019,"SME_LENDING_STOCK","Outstanding business loans, SMEs ","AUD","Australian Dollar","Millions",NA,426631
"AUS","Australia",2007,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","AUD","Australian Dollar","Millions",NA,699871
"AUS","Australia",2008,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","AUD","Australian Dollar","Millions",NA,767471
"AUS","Australia",2009,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","AUD","Australian Dollar","Millions",NA,713201
"AUS","Australia",2010,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","AUD","Australian Dollar","Millions",NA,689172
"AUS","Australia",2011,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","AUD","Australian Dollar","Millions",NA,712918
"AUS","Australia",2012,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","AUD","Australian Dollar","Millions",NA,732689
"AUS","Australia",2013,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","AUD","Australian Dollar","Millions",NA,745093
"AUS","Australia",2014,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","AUD","Australian Dollar","Millions",NA,778401
"AUS","Australia",2015,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","AUD","Australian Dollar","Millions",NA,831972
"AUS","Australia",2016,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","AUD","Australian Dollar","Millions",NA,875498
"AUS","Australia",2017,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","AUD","Australian Dollar","Millions",NA,904545
"AUS","Australia",2018,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","AUD","Australian Dollar","Millions",NA,954829
"AUS","Australia",2019,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","AUD","Australian Dollar","Millions",NA,974192
"AUS","Australia",2007,"SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","PC","Percentage","Units",NA,27.03
"AUS","Australia",2008,"SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","PC","Percentage","Units",NA,26.66
"AUS","Australia",2009,"SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","PC","Percentage","Units",NA,28.7
"AUS","Australia",2010,"SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","PC","Percentage","Units",NA,32.67
"AUS","Australia",2011,"SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","PC","Percentage","Units",NA,33.1
"AUS","Australia",2012,"SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","PC","Percentage","Units",NA,32.76
"AUS","Australia",2013,"SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","PC","Percentage","Units",NA,32.63
"AUS","Australia",2014,"SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","PC","Percentage","Units",NA,32.3
"AUS","Australia",2015,"SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","PC","Percentage","Units",NA,31.43
"AUS","Australia",2016,"SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","PC","Percentage","Units",NA,31
"AUS","Australia",2017,"SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","PC","Percentage","Units",NA,31.11
"AUS","Australia",2018,"SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","PC","Percentage","Units",NA,29.71
"AUS","Australia",2019,"SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","PC","Percentage","Units",NA,43.79
"AUS","Australia",2007,"NPL_CORPORATE","Non-performing loans, total (% of all business loans)","PC","Percentage","Units",NA,0.5
"AUS","Australia",2008,"NPL_CORPORATE","Non-performing loans, total (% of all business loans)","PC","Percentage","Units",NA,2.07
"AUS","Australia",2009,"NPL_CORPORATE","Non-performing loans, total (% of all business loans)","PC","Percentage","Units",NA,3.27
"AUS","Australia",2010,"NPL_CORPORATE","Non-performing loans, total (% of all business loans)","PC","Percentage","Units",NA,3.55
"AUS","Australia",2011,"NPL_CORPORATE","Non-performing loans, total (% of all business loans)","PC","Percentage","Units",NA,3.16
"AUS","Australia",2012,"NPL_CORPORATE","Non-performing loans, total (% of all business loans)","PC","Percentage","Units",NA,2.68
"AUS","Australia",2013,"NPL_CORPORATE","Non-performing loans, total (% of all business loans)","PC","Percentage","Units",NA,2.03
"AUS","Australia",2014,"NPL_CORPORATE","Non-performing loans, total (% of all business loans)","PC","Percentage","Units",NA,1.39
"AUS","Australia",2015,"NPL_CORPORATE","Non-performing loans, total (% of all business loans)","PC","Percentage","Units",NA,1.01
"AUS","Australia",2016,"NPL_CORPORATE","Non-performing loans, total (% of all business loans)","PC","Percentage","Units",NA,1.13
"AUS","Australia",2017,"NPL_CORPORATE","Non-performing loans, total (% of all business loans)","PC","Percentage","Units",NA,0.78
"AUS","Australia",2018,"NPL_CORPORATE","Non-performing loans, total (% of all business loans)","PC","Percentage","Units",NA,0.81
"AUS","Australia",2019,"NPL_CORPORATE","Non-performing loans, total (% of all business loans)","PC","Percentage","Units",NA,0.92
"AUS","Australia",2007,"INTEREST_RATE_SMES","Interest rate, SMEs","PC","Percentage","Units",NA,8.66
"AUS","Australia",2008,"INTEREST_RATE_SMES","Interest rate, SMEs","PC","Percentage","Units",NA,8.04
"AUS","Australia",2009,"INTEREST_RATE_SMES","Interest rate, SMEs","PC","Percentage","Units",NA,7.6
"AUS","Australia",2010,"INTEREST_RATE_SMES","Interest rate, SMEs","PC","Percentage","Units",NA,8.4
"AUS","Australia",2011,"INTEREST_RATE_SMES","Interest rate, SMEs","PC","Percentage","Units",NA,8.02
"AUS","Australia",2012,"INTEREST_RATE_SMES","Interest rate, SMEs","PC","Percentage","Units",NA,7.13
"AUS","Australia",2013,"INTEREST_RATE_SMES","Interest rate, SMEs","PC","Percentage","Units",NA,6.54
"AUS","Australia",2014,"INTEREST_RATE_SMES","Interest rate, SMEs","PC","Percentage","Units",NA,6.27
"AUS","Australia",2015,"INTEREST_RATE_SMES","Interest rate, SMEs","PC","Percentage","Units",NA,5.63
"AUS","Australia",2016,"INTEREST_RATE_SMES","Interest rate, SMEs","PC","Percentage","Units",NA,5.36
"AUS","Australia",2017,"INTEREST_RATE_SMES","Interest rate, SMEs","PC","Percentage","Units",NA,5.28
"AUS","Australia",2018,"INTEREST_RATE_SMES","Interest rate, SMEs","PC","Percentage","Units",NA,5.33
"AUS","Australia",2019,"INTEREST_RATE_SMES","Interest rate, SMEs","PC","Percentage","Units",NA,4.18
"AUS","Australia",2007,"INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","PC","Percentage","Units",NA,7.95
"AUS","Australia",2008,"INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","PC","Percentage","Units",NA,6.34
"AUS","Australia",2009,"INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","PC","Percentage","Units",NA,5.94
"AUS","Australia",2010,"INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","PC","Percentage","Units",NA,7.02
"AUS","Australia",2011,"INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","PC","Percentage","Units",NA,6.74
"AUS","Australia",2012,"INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","PC","Percentage","Units",NA,5.5
"AUS","Australia",2013,"INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","PC","Percentage","Units",NA,4.77
"AUS","Australia",2014,"INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","PC","Percentage","Units",NA,4.6
"AUS","Australia",2015,"INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","PC","Percentage","Units",NA,3.9
"AUS","Australia",2016,"INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","PC","Percentage","Units",NA,3.49
"AUS","Australia",2017,"INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","PC","Percentage","Units",NA,3.43
"AUS","Australia",2018,"INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","PC","Percentage","Units",NA,3.72
"AUS","Australia",2019,"INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","PC","Percentage","Units",NA,2.48
"AUS","Australia",2007,"INTEREST_RATE_SPREAD","Interest rate spread (% points)","PC","Percentage","Units",NA,0.71
"AUS","Australia",2008,"INTEREST_RATE_SPREAD","Interest rate spread (% points)","PC","Percentage","Units",NA,1.7
"AUS","Australia",2009,"INTEREST_RATE_SPREAD","Interest rate spread (% points)","PC","Percentage","Units",NA,1.66
"AUS","Australia",2010,"INTEREST_RATE_SPREAD","Interest rate spread (% points)","PC","Percentage","Units",NA,1.38
"AUS","Australia",2011,"INTEREST_RATE_SPREAD","Interest rate spread (% points)","PC","Percentage","Units",NA,1.28
"AUS","Australia",2012,"INTEREST_RATE_SPREAD","Interest rate spread (% points)","PC","Percentage","Units",NA,1.63
"AUS","Australia",2013,"INTEREST_RATE_SPREAD","Interest rate spread (% points)","PC","Percentage","Units",NA,1.77
"AUS","Australia",2014,"INTEREST_RATE_SPREAD","Interest rate spread (% points)","PC","Percentage","Units",NA,1.67
"AUS","Australia",2015,"INTEREST_RATE_SPREAD","Interest rate spread (% points)","PC","Percentage","Units",NA,1.73
"AUS","Australia",2016,"INTEREST_RATE_SPREAD","Interest rate spread (% points)","PC","Percentage","Units",NA,1.87
"AUS","Australia",2017,"INTEREST_RATE_SPREAD","Interest rate spread (% points)","PC","Percentage","Units",NA,1.85
