"country","month","newcase"
"Afghanistan","2020-02",1
"Afghanistan","2020-03",174
"Afghanistan","2020-04",1952
"Afghanistan","2020-05",13081
"Afghanistan","2020-06",16299
"Afghanistan","2020-07",5158
"Afghanistan","2020-08",1494
"Afghanistan","2020-09",1109
"Afghanistan","2020-10",2157
"Afghanistan","2020-11",4849
"Afghanistan","2020-12",5252
"Afghanistan","2021-01",3497
"Afghanistan","2021-02",691
"Afghanistan","2021-03",740
"Afghanistan","2021-04",3291
"Afghanistan","2021-05",12093
"Afghanistan","2021-06",46821
"Afghanistan","2021-07",26349
"Africa","2020-02",3
"Africa","2020-03",5778
"Africa","2020-04",32972
"Africa","2020-05",107806
"Africa","2020-06",258342
"Africa","2020-07",523179
"Africa","2020-08",324155
"Africa","2020-09",229700
"Africa","2020-10",303539
"Africa","2020-11",388849
"Africa","2020-12",586136
"Africa","2021-01",809158
"Africa","2021-02",327690
"Africa","2021-03",320006
"Africa","2021-04",340386
"Africa","2021-05",282761
"Africa","2021-06",664154
"Africa","2021-07",1028996
"Albania","2020-03",243
"Albania","2020-04",530
"Albania","2020-05",364
"Albania","2020-06",1398
"Albania","2020-07",2741
"Albania","2020-08",4237
"Albania","2020-09",4136
"Albania","2020-10",7226
"Albania","2020-11",17307
"Albania","2020-12",20134
"Albania","2021-01",19811
"Albania","2021-02",29040
"Albania","2021-03",17990
"Albania","2021-04",5928
"Albania","2021-05",1230
"Albania","2021-06",206
"Albania","2021-07",401
"Algeria","2020-02",1
"Algeria","2020-03",715
"Algeria","2020-04",3290
"Algeria","2020-05",5388
"Algeria","2020-06",4513
"Algeria","2020-07",16487
"Algeria","2020-08",14100
"Algeria","2020-09",7036
"Algeria","2020-10",6412
"Algeria","2020-11",25257
"Algeria","2020-12",16411
"Algeria","2021-01",7729
"Algeria","2021-02",5753
"Algeria","2021-03",4100
"Algeria","2021-04",4916
"Algeria","2021-05",6805
"Algeria","2021-06",10713
"Algeria","2021-07",25578
"Andorra","2020-03",376
"Andorra","2020-04",369
"Andorra","2020-05",19
"Andorra","2020-06",91
"Andorra","2020-07",70
"Andorra","2020-08",251
"Andorra","2020-09",874
"Andorra","2020-10",2706
"Andorra","2020-11",1989
"Andorra","2020-12",1304
"Andorra","2021-01",1888
"Andorra","2021-02",929
"Andorra","2021-03",1144
"Andorra","2021-04",1222
"Andorra","2021-05",495
"Andorra","2021-06",184
"Andorra","2021-07",675
"Angola","2020-03",7
"Angola","2020-04",20
"Angola","2020-05",59
"Angola","2020-06",198
"Angola","2020-07",864
"Angola","2020-08",1506
"Angola","2020-09",2318
"Angola","2020-10",5833
"Angola","2020-11",4334
"Angola","2020-12",2414
"Angola","2021-01",2243
"Angola","2021-02",1011
"Angola","2021-03",1504
"Angola","2021-04",4341
"Angola","2021-05",7899
"Angola","2021-06",4298
"Angola","2021-07",3261
"Antigua and Barbuda","2020-03",7
"Antigua and Barbuda","2020-04",17
"Antigua and Barbuda","2020-05",2
"Antigua and Barbuda","2020-06",43
"Antigua and Barbuda","2020-07",22
"Antigua and Barbuda","2020-08",3
"Antigua and Barbuda","2020-09",7
"Antigua and Barbuda","2020-10",27
"Antigua and Barbuda","2020-11",13
"Antigua and Barbuda","2020-12",18
"Antigua and Barbuda","2021-01",75
"Antigua and Barbuda","2021-02",496
"Antigua and Barbuda","2021-03",406
"Antigua and Barbuda","2021-04",96
"Antigua and Barbuda","2021-05",28
"Antigua and Barbuda","2021-06",3
"Antigua and Barbuda","2021-07",25
"Argentina","2020-03",1054
"Argentina","2020-04",3374
"Argentina","2020-05",12423
"Argentina","2020-06",47679
"Argentina","2020-07",126772
"Argentina","2020-08",226433
"Argentina","2020-09",333266
"Argentina","2020-10",415923
"Argentina","2020-11",257609
"Argentina","2020-12",200981
"Argentina","2021-01",301725
"Argentina","2021-02",180126
"Argentina","2021-03",241456
"Argentina","2021-04",628542
"Argentina","2021-05",804421
"Argentina","2021-06",688590
"Argentina","2021-07",405553
"Armenia","2020-03",532
"Armenia","2020-04",1534
"Armenia","2020-05",7216
"Armenia","2020-06",16260
"Armenia","2020-07",13008
"Armenia","2020-08",5231
"Armenia","2020-09",6578
"Armenia","2020-10",39454
"Armenia","2020-11",45311
"Armenia","2020-12",24285
"Armenia","2021-01",7617
"Armenia","2021-02",5032
"Armenia","2021-03",20581
"Armenia","2021-04",23425
"Armenia","2021-05",6606
"Armenia","2021-06",2425
"Armenia","2021-07",3995
"Asia","2020-01",9333
"Asia","2020-02",73831
"Asia","2020-03",95313
"Asia","2020-04",341931
"Asia","2020-05",617814
"Asia","2020-06",1166426
"Asia","2020-07",1991314
"Asia","2020-08",2817359
"Asia","2020-09",3554777
"Asia","2020-10",3045973
"Asia","2020-11",3076661
"Asia","2020-12",3100559
"Asia","2021-01",2398209
"Asia","2021-02",1908902
"Asia","2021-03",3484950
"Asia","2021-04",11019175
"Asia","2021-05",11739557
"Asia","2021-06",4554962
"Asia","2021-07",5142339
"Australia","2020-01",9
"Australia","2020-02",16
"Australia","2020-03",4534
"Australia","2020-04",2207
"Australia","2020-05",436
"Australia","2020-06",718
"Australia","2020-07",9360
"Australia","2020-08",8539
"Australia","2020-09",1277
"Australia","2020-10",499
"Australia","2020-11",317
"Australia","2020-12",513
"Australia","2021-01",393
"Australia","2021-02",160
"Australia","2021-03",344
