"LOCATION","Country","VAR","Variable","EDI","Edition","Frequency","Time","Unit","Value"
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",-1.2766e+10
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",-2.065e+10
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",-2.0403e+10
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",-2.2471e+10
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",-1.7349e+10
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",-1.7933e+10
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",-1.4265e+10
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",-6.216e+09
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",-7.167e+09
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",-1.0699e+10
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",-1.2817e+10
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",-1.55e+10
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",-1.0728e+10
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",-1.1967e+10
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2018","National currency",-1.0785e+10
"AUS","Australia",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",-7.203e+09
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",1840801158
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",1747152779
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",1134543003
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",1217503060
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",3036964085
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",2391794772
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",2362371621
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",1031869522
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",920084713
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",2016652359
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",1898972784
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",2381290145
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2018","National currency",2569444058
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2018","National currency",2330438012
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2018","National currency",2521899677
"AUT","Austria",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2018","National currency",1564218253
"BEL","Belgium",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2015","National currency",-2.42e+09
"BEL","Belgium",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2015","National currency",3e+06
"BEL","Belgium",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2015","National currency",-1.596e+09
"BEL","Belgium",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2015","National currency",-1.86e+08
"BEL","Belgium",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2016","National currency",2.463e+09
"BEL","Belgium",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2016","National currency",5.78e+08
"BEL","Belgium",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2016","National currency",-3.499e+09
"BEL","Belgium",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2016","National currency",-2.104e+09
"BEL","Belgium",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q1-2017","National currency",8.99e+08
"BEL","Belgium",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q2-2017","National currency",1.135e+09
"BEL","Belgium",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q3-2017","National currency",1.01e+09
"BEL","Belgium",701,"Balance of Payments - current account balance",201904,"April 2019","Quarterly","Q4-2017","National currency",1.49e+08
