"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","SME_LENDING_STOCK","Outstanding business loans, SMEs ","2007","2007","AUD","Australian Dollar","6","Millions",,,189198,,
"AUS","Australia","SME_LENDING_STOCK","Outstanding business loans, SMEs ","2008","2008","AUD","Australian Dollar","6","Millions",,,204591,,
"AUS","Australia","SME_LENDING_STOCK","Outstanding business loans, SMEs ","2009","2009","AUD","Australian Dollar","6","Millions",,,204681,,
"AUS","Australia","SME_LENDING_STOCK","Outstanding business loans, SMEs ","2010","2010","AUD","Australian Dollar","6","Millions",,,225167,,
"AUS","Australia","SME_LENDING_STOCK","Outstanding business loans, SMEs ","2011","2011","AUD","Australian Dollar","6","Millions",,,235982,,
"AUS","Australia","SME_LENDING_STOCK","Outstanding business loans, SMEs ","2012","2012","AUD","Australian Dollar","6","Millions",,,239993,,
"AUS","Australia","SME_LENDING_STOCK","Outstanding business loans, SMEs ","2013","2013","AUD","Australian Dollar","6","Millions",,,243110,,
"AUS","Australia","SME_LENDING_STOCK","Outstanding business loans, SMEs ","2014","2014","AUD","Australian Dollar","6","Millions",,,251393,,
"AUS","Australia","SME_LENDING_STOCK","Outstanding business loans, SMEs ","2015","2015","AUD","Australian Dollar","6","Millions",,,261505,,
"AUS","Australia","SME_LENDING_STOCK","Outstanding business loans, SMEs ","2016","2016","AUD","Australian Dollar","6","Millions",,,271388,,
"AUS","Australia","SME_LENDING_STOCK","Outstanding business loans, SMEs ","2017","2017","AUD","Australian Dollar","6","Millions",,,281388,,
"AUS","Australia","SME_LENDING_STOCK","Outstanding business loans, SMEs ","2018","2018","AUD","Australian Dollar","6","Millions",,,283697,,
"AUS","Australia","SME_LENDING_STOCK","Outstanding business loans, SMEs ","2019","2019","AUD","Australian Dollar","6","Millions",,,426631,,
"AUS","Australia","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2007","2007","AUD","Australian Dollar","6","Millions",,,699871,,
"AUS","Australia","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2008","2008","AUD","Australian Dollar","6","Millions",,,767471,,
"AUS","Australia","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2009","2009","AUD","Australian Dollar","6","Millions",,,713201,,
"AUS","Australia","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2010","2010","AUD","Australian Dollar","6","Millions",,,689172,,
"AUS","Australia","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2011","2011","AUD","Australian Dollar","6","Millions",,,712918,,
"AUS","Australia","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2012","2012","AUD","Australian Dollar","6","Millions",,,732689,,
"AUS","Australia","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2013","2013","AUD","Australian Dollar","6","Millions",,,745093,,
"AUS","Australia","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2014","2014","AUD","Australian Dollar","6","Millions",,,778401,,
"AUS","Australia","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2015","2015","AUD","Australian Dollar","6","Millions",,,831972,,
"AUS","Australia","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2016","2016","AUD","Australian Dollar","6","Millions",,,875498,,
"AUS","Australia","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2017","2017","AUD","Australian Dollar","6","Millions",,,904545,,
"AUS","Australia","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2018","2018","AUD","Australian Dollar","6","Millions",,,954829,,
"AUS","Australia","CORPORATE_LENDING_STOCK","Outstanding business loans, total ","2019","2019","AUD","Australian Dollar","6","Millions",,,974192,,
"AUS","Australia","SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","2007","2007","PC","Percentage","0","Units",,,27.03,,
"AUS","Australia","SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","2008","2008","PC","Percentage","0","Units",,,26.66,,
"AUS","Australia","SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","2009","2009","PC","Percentage","0","Units",,,28.7,,
"AUS","Australia","SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","2010","2010","PC","Percentage","0","Units",,,32.67,,
"AUS","Australia","SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","2011","2011","PC","Percentage","0","Units",,,33.1,,
"AUS","Australia","SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","2012","2012","PC","Percentage","0","Units",,,32.76,,
"AUS","Australia","SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","2013","2013","PC","Percentage","0","Units",,,32.63,,
"AUS","Australia","SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","2014","2014","PC","Percentage","0","Units",,,32.3,,
"AUS","Australia","SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","2015","2015","PC","Percentage","0","Units",,,31.43,,
"AUS","Australia","SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","2016","2016","PC","Percentage","0","Units",,,31,,
"AUS","Australia","SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","2017","2017","PC","Percentage","0","Units",,,31.11,,
"AUS","Australia","SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","2018","2018","PC","Percentage","0","Units",,,29.71,,
"AUS","Australia","SME_LENDING_PROPORTION","Share of SME outstanding loans (% of total outstanding business loans)","2019","2019","PC","Percentage","0","Units",,,43.79,,
"AUS","Australia","NPL_CORPORATE","Non-performing loans, total (% of all business loans)","2007","2007","PC","Percentage","0","Units",,,0.5,,
"AUS","Australia","NPL_CORPORATE","Non-performing loans, total (% of all business loans)","2008","2008","PC","Percentage","0","Units",,,2.07,,
"AUS","Australia","NPL_CORPORATE","Non-performing loans, total (% of all business loans)","2009","2009","PC","Percentage","0","Units",,,3.27,,
"AUS","Australia","NPL_CORPORATE","Non-performing loans, total (% of all business loans)","2010","2010","PC","Percentage","0","Units",,,3.55,,
"AUS","Australia","NPL_CORPORATE","Non-performing loans, total (% of all business loans)","2011","2011","PC","Percentage","0","Units",,,3.16,,
"AUS","Australia","NPL_CORPORATE","Non-performing loans, total (% of all business loans)","2012","2012","PC","Percentage","0","Units",,,2.68,,
"AUS","Australia","NPL_CORPORATE","Non-performing loans, total (% of all business loans)","2013","2013","PC","Percentage","0","Units",,,2.03,,
"AUS","Australia","NPL_CORPORATE","Non-performing loans, total (% of all business loans)","2014","2014","PC","Percentage","0","Units",,,1.39,,
"AUS","Australia","NPL_CORPORATE","Non-performing loans, total (% of all business loans)","2015","2015","PC","Percentage","0","Units",,,1.01,,
"AUS","Australia","NPL_CORPORATE","Non-performing loans, total (% of all business loans)","2016","2016","PC","Percentage","0","Units",,,1.13,,
"AUS","Australia","NPL_CORPORATE","Non-performing loans, total (% of all business loans)","2017","2017","PC","Percentage","0","Units",,,0.78,,
"AUS","Australia","NPL_CORPORATE","Non-performing loans, total (% of all business loans)","2018","2018","PC","Percentage","0","Units",,,0.81,,
"AUS","Australia","NPL_CORPORATE","Non-performing loans, total (% of all business loans)","2019","2019","PC","Percentage","0","Units",,,0.92,,
"AUS","Australia","INTEREST_RATE_SMES","Interest rate, SMEs","2007","2007","PC","Percentage","0","Units",,,8.66,,
"AUS","Australia","INTEREST_RATE_SMES","Interest rate, SMEs","2008","2008","PC","Percentage","0","Units",,,8.04,,
"AUS","Australia","INTEREST_RATE_SMES","Interest rate, SMEs","2009","2009","PC","Percentage","0","Units",,,7.6,,
"AUS","Australia","INTEREST_RATE_SMES","Interest rate, SMEs","2010","2010","PC","Percentage","0","Units",,,8.4,,
"AUS","Australia","INTEREST_RATE_SMES","Interest rate, SMEs","2011","2011","PC","Percentage","0","Units",,,8.02,,
"AUS","Australia","INTEREST_RATE_SMES","Interest rate, SMEs","2012","2012","PC","Percentage","0","Units",,,7.13,,
"AUS","Australia","INTEREST_RATE_SMES","Interest rate, SMEs","2013","2013","PC","Percentage","0","Units",,,6.54,,
"AUS","Australia","INTEREST_RATE_SMES","Interest rate, SMEs","2014","2014","PC","Percentage","0","Units",,,6.27,,
"AUS","Australia","INTEREST_RATE_SMES","Interest rate, SMEs","2015","2015","PC","Percentage","0","Units",,,5.63,,
"AUS","Australia","INTEREST_RATE_SMES","Interest rate, SMEs","2016","2016","PC","Percentage","0","Units",,,5.36,,
"AUS","Australia","INTEREST_RATE_SMES","Interest rate, SMEs","2017","2017","PC","Percentage","0","Units",,,5.28,,
"AUS","Australia","INTEREST_RATE_SMES","Interest rate, SMEs","2018","2018","PC","Percentage","0","Units",,,5.33,,
"AUS","Australia","INTEREST_RATE_SMES","Interest rate, SMEs","2019","2019","PC","Percentage","0","Units",,,4.18,,
"AUS","Australia","INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","2007","2007","PC","Percentage","0","Units",,,7.95,,
"AUS","Australia","INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","2008","2008","PC","Percentage","0","Units",,,6.34,,
"AUS","Australia","INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","2009","2009","PC","Percentage","0","Units",,,5.94,,
"AUS","Australia","INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","2010","2010","PC","Percentage","0","Units",,,7.02,,
"AUS","Australia","INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","2011","2011","PC","Percentage","0","Units",,,6.74,,
"AUS","Australia","INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","2012","2012","PC","Percentage","0","Units",,,5.5,,
"AUS","Australia","INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","2013","2013","PC","Percentage","0","Units",,,4.77,,
"AUS","Australia","INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","2014","2014","PC","Percentage","0","Units",,,4.6,,
"AUS","Australia","INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","2015","2015","PC","Percentage","0","Units",,,3.9,,
"AUS","Australia","INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","2016","2016","PC","Percentage","0","Units",,,3.49,,
"AUS","Australia","INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","2017","2017","PC","Percentage","0","Units",,,3.43,,
"AUS","Australia","INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","2018","2018","PC","Percentage","0","Units",,,3.72,,
"AUS","Australia","INTEREST_RATE_LARGEFIRMS","Interest rate, large firms","2019","2019","PC","Percentage","0","Units",,,2.48,,
"AUS","Australia","INTEREST_RATE_SPREAD","Interest rate spread (% points)","2007","2007","PC","Percentage","0","Units",,,0.71,,
"AUS","Australia","INTEREST_RATE_SPREAD","Interest rate spread (% points)","2008","2008","PC","Percentage","0","Units",,,1.7,,
"AUS","Australia","INTEREST_RATE_SPREAD","Interest rate spread (% points)","2009","2009","PC","Percentage","0","Units",,,1.66,,
"AUS","Australia","INTEREST_RATE_SPREAD","Interest rate spread (% points)","2010","2010","PC","Percentage","0","Units",,,1.38,,
"AUS","Australia","INTEREST_RATE_SPREAD","Interest rate spread (% points)","2011","2011","PC","Percentage","0","Units",,,1.28,,
"AUS","Australia","INTEREST_RATE_SPREAD","Interest rate spread (% points)","2012","2012","PC","Percentage","0","Units",,,1.63,,
"AUS","Australia","INTEREST_RATE_SPREAD","Interest rate spread (% points)","2013","2013","PC","Percentage","0","Units",,,1.77,,
"AUS","Australia","INTEREST_RATE_SPREAD","Interest rate spread (% points)","2014","2014","PC","Percentage","0","Units",,,1.67,,
"AUS","Australia","INTEREST_RATE_SPREAD","Interest rate spread (% points)","2015","2015","PC","Percentage","0","Units",,,1.73,,
"AUS","Australia","INTEREST_RATE_SPREAD","Interest rate spread (% points)","2016","2016","PC","Percentage","0","Units",,,1.87,,
"AUS","Australia","INTEREST_RATE_SPREAD","Interest rate spread (% points)","2017","2017","PC","Percentage","0","Units",,,1.85,,
"AUS","Australia","INTEREST_RATE_SPREAD","Interest rate spread (% points)","2018","2018","PC","Percentage","0","Units",,,1.61,,
"AUS","Australia","INTEREST_RATE_SPREAD","Interest rate spread (% points)","2019","2019","PC","Percentage","0","Units",,,1.7,,
"AUS","Australia","VC","Growth capital and venture capital","2007","2007","AUD","Australian Dollar","6","Millions",,,6939,,
"AUS","Australia","VC","Growth capital and venture capital","2008","2008","AUD","Australian Dollar","6","Millions",,,8315,,
"AUS","Australia","VC","Growth capital and venture capital","2009","2009","AUD","Australian Dollar","6","Millions",,,7903,,
"AUS","Australia","VC","Growth capital and venture capital","2010","2010","AUD","Australian Dollar","6","Millions",,,8912,,
"AUS","Australia","VC","Growth capital and venture capital","2011","2011","AUD","Australian Dollar","6","Millions",,,8700,,
"AUS","Australia","VC","Growth capital and venture capital","2012","2012","AUD","Australian Dollar","6","Millions",,,7652,,
"AUS","Australia","VC","Growth capital and venture capital","2013","2013","AUD","Australian Dollar","6","Millions",,,8348,,
"AUS","Australia","VC","Growth capital and venture capital","2014","2014","AUD","Australian Dollar","6","Millions",,,7907,,
"AUS","Australia","VC","Growth capital and venture capital","2015","2015","AUD","Australian Dollar","6","Millions",,,8802,,
"AUS","Australia","VC","Growth capital and venture capital","2016","2016","AUD","Australian Dollar","6","Millions",,,9213,,
"AUS","Australia","VC","Growth capital and venture capital","2017","2017","AUD","Australian Dollar","6","Millions",,,10575,,
"AUS","Australia","VC","Growth capital and venture capital","2018","2018","AUD","Australian Dollar","6","Millions",,,11001,,
"AUS","Australia","VC","Growth capital and venture capital","2019","2019","AUD","Australian Dollar","6","Millions",,,12162,,
"AUS","Australia","VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","2008","2008","PC","Percentage","0","Units",,,19.83,,
"AUS","Australia","VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","2009","2009","PC","Percentage","0","Units",,,-4.95,,
"AUS","Australia","VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","2010","2010","PC","Percentage","0","Units",,,12.77,,
"AUS","Australia","VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","2011","2011","PC","Percentage","0","Units",,,-2.38,,
"AUS","Australia","VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","2012","2012","PC","Percentage","0","Units",,,-12.05,,
"AUS","Australia","VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","2013","2013","PC","Percentage","0","Units",,,9.1,,
"AUS","Australia","VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","2014","2014","PC","Percentage","0","Units",,,-5.28,,
"AUS","Australia","VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","2015","2015","PC","Percentage","0","Units",,,11.32,,
"AUS","Australia","VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","2016","2016","PC","Percentage","0","Units",,,4.67,,
"AUS","Australia","VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","2017","2017","PC","Percentage","0","Units",,,14.78,,
"AUS","Australia","VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","2018","2018","PC","Percentage","0","Units",,,4.03,,
"AUS","Australia","VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","2019","2019","PC","Percentage","0","Units",,,10.55,,
"AUS","Australia","LEASING","Leasing and hire purchases","2007","2007","AUD","Australian Dollar","6","Millions",,,9245.2,,
