"LOCATION","Country","VAR","Variable","EDI","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q1","Q1-2015","NATCUR","National currency","0","Units",,,-12766000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q2","Q2-2015","NATCUR","National currency","0","Units",,,-20650000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q3","Q3-2015","NATCUR","National currency","0","Units",,,-20403000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q4","Q4-2015","NATCUR","National currency","0","Units",,,-22471000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q1","Q1-2016","NATCUR","National currency","0","Units",,,-17349000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q2","Q2-2016","NATCUR","National currency","0","Units",,,-17933000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q3","Q3-2016","NATCUR","National currency","0","Units",,,-14265000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q4","Q4-2016","NATCUR","National currency","0","Units",,,-6216000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q1","Q1-2017","NATCUR","National currency","0","Units",,,-7167000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q2","Q2-2017","NATCUR","National currency","0","Units",,,-10699000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q3","Q3-2017","NATCUR","National currency","0","Units",,,-12817000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q4","Q4-2017","NATCUR","National currency","0","Units",,,-15500000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q1","Q1-2018","NATCUR","National currency","0","Units",,,-10728000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q2","Q2-2018","NATCUR","National currency","0","Units",,,-11967000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q3","Q3-2018","NATCUR","National currency","0","Units",,,-10785000000,,
"AUS","Australia","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2018-Q4","Q4-2018","NATCUR","National currency","0","Units",,,-7203000000,,
"AUT","Austria","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q1","Q1-2015","NATCUR","National currency","0","Units",,,1840801158,,
"AUT","Austria","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q2","Q2-2015","NATCUR","National currency","0","Units",,,1747152779,,
"AUT","Austria","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q3","Q3-2015","NATCUR","National currency","0","Units",,,1134543003,,
"AUT","Austria","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2015-Q4","Q4-2015","NATCUR","National currency","0","Units",,,1217503060,,
"AUT","Austria","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q1","Q1-2016","NATCUR","National currency","0","Units",,,3036964085,,
"AUT","Austria","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q2","Q2-2016","NATCUR","National currency","0","Units",,,2391794772,,
"AUT","Austria","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q3","Q3-2016","NATCUR","National currency","0","Units",,,2362371621,,
"AUT","Austria","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2016-Q4","Q4-2016","NATCUR","National currency","0","Units",,,1031869522,,
"AUT","Austria","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q1","Q1-2017","NATCUR","National currency","0","Units",,,920084713,,
"AUT","Austria","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q2","Q2-2017","NATCUR","National currency","0","Units",,,2016652359,,
"AUT","Austria","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q3","Q3-2017","NATCUR","National currency","0","Units",,,1898972784,,
"AUT","Austria","701","Balance of Payments - current account balance","201904","April 2019","Q","Quarterly","2017-Q4","Q4-2017","NATCUR","National currency","0","Units",,,2381290145,,
