"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"

"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.684167,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.493333,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.9208333,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,2.776667,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,2.743333,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,2.62,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,2.596667,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,2.12,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.63,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,1.096667,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,1.126667,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,1.006667,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,0.8966666,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,0.89,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units",,,0.89,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units",,,1.353333,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units",,,1.596667,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-01","Jan-2018","PC","Percentage","0","Units",,,2.75,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-02","Feb-2018","PC","Percentage","0","Units",,,2.86,,
"IRLT","Long-term interest rates, Per cent per annum","AUS","Australia","M","Monthly","2018-03","Mar-2018","PC","Percentage","0","Units",,,2.72,,
