"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2018-09","Sep-2018","IDX","Index","0","Units","2015_100","2015=100",105.691192400633,,
"AUT","Austria","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2018-10","Oct-2018","IDX","Index","0","Units","2015_100","2015=100",105.991167402716,,
"AUT","Austria","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2018-11","Nov-2018","IDX","Index","0","Units","2015_100","2015=100",106.191150737439,,
"AUT","Austria","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units","2015_100","2015=100",106.2911424048,,
"AUT","Austria","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units","2015_100","2015=100",105.491209065911,,
"AUT","Austria","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units","2015_100","2015=100",105.491209065911,,
"AUT","Austria","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units","2015_100","2015=100",106.391134072161,,
"AUT","Austria","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units","2015_100","2015=100",106.491125739522,,
"AUT","Austria","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2019-05","May-2019","IDX","Index","0","Units","2015_100","2015=100",106.691109074244,,
"AUT","Austria","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units","2015_100","2015=100",106.791100741605,,
"AUT","Austria","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2015=100","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units","2015_100","2015=100",106.391134072161,,
