"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,4.9868633,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,4.9798139,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,5.1085135,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,5.004922,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,5.0813734,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,5.0077837,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,5.1358012,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,5.2429674,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,5.199353,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,5.2015374,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,5.2281542,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,5.2235551,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,5.1605881,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,5.2718181,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,5.1576593,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,5.0472177,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,5.3119857,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,5.1342532,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,5.2742562,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,6.3797049,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,7.0208478,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,7.3571039,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,7.4471785,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,6.7567081,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,6.8559952,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,6.941253,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,6.8382035,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,6.5852243,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,6.4047091,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,5.8728099,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,5.6969005,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,5.4787217,,
