"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2018-09","Sep-2018","IDX","Index","0","Units",,,100.1035,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2018-10","Oct-2018","IDX","Index","0","Units",,,100.0845,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2018-11","Nov-2018","IDX","Index","0","Units",,,100.1471,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2018-12","Dec-2018","IDX","Index","0","Units",,,100.1452,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-01","Jan-2019","IDX","Index","0","Units",,,100.0664,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units",,,100.0335,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units",,,99.93834,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units",,,99.92003,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-05","May-2019","IDX","Index","0","Units",,,99.90336,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units",,,99.83984,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units",,,99.72435,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units",,,99.65864,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units",,,99.52162,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units",,,99.36901,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units",,,99.3477,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units",,,99.29186,,
"CSCICP03","OECD Standardised CCI, Amplitude adjusted (Long term average=100), sa","AUS","Australia","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units",,,99.18947,,
