"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,2.63,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,2.68,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,2.68,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,2.43,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,2.27,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,2.13,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,1.96,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,1.86,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,1.65,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,1.38,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,1.31,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,0.95,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,1.03,,
