"Ages","Population"
"All ages","311,116"
".Under 5 years","19,917"
".5 to 9 years","20,536"
".10 to 14 years","20,640"
".15 to 19 years","20,970"
".20 to 24 years","22,153"
".25 to 29 years","21,138"
".30 to 34 years","20,659"
".35 to 39 years","19,221"
".40 to 44 years","20,657"
".45 to 49 years","21,060"
".50 to 54 years","22,386"
".55 to 59 years","20,880"
".60 to 64 years","17,611"
".65 to 69 years","14,437"
".70 to 74 years","10,264"
".75 to 79 years","7,598"
".80 to 84 years","5,692"
".85 years and over","5,296"
